dBm:-50 dBm  Frequency:0.5 GHz Result = 2804-----[10, 244]
dBm:-50 dBm  Frequency:0.5 GHz Result = 2803-----[10, 243]
dBm:-50 dBm  Frequency:0.5 GHz Result = 2801-----[10, 241]
dBm:-50 dBm  Frequency:0.5 GHz Result = 2799-----[10, 239]
dBm:-50 dBm  Frequency:0.5 GHz Result = 2800-----[10, 240]
dBm:-50 dBm  Frequency:0.5 GHz Result = 2802-----[10, 242]
dBm:-50 dBm  Frequency:0.5 GHz Result = 2800-----[10, 240]
dBm:-50 dBm  Frequency:0.5 GHz Result = 2789-----[10, 229]
dBm:-50 dBm  Frequency:0.5 GHz Result = 2802-----[10, 242]
dBm:-50 dBm  Frequency:0.5 GHz Result = 2802-----[10, 242]
dBm:-50 dBm  Frequency:0.5 GHz Result = 2790-----[10, 230]
dBm:-50 dBm  Frequency:0.5 GHz Result = 2796-----[10, 236]
dBm:-50 dBm  Frequency:0.5 GHz Result = 2796-----[10, 236]
dBm:-50 dBm  Frequency:0.5 GHz Result = 2793-----[10, 233]
dBm:-50 dBm  Frequency:0.5 GHz Result = 2799-----[10, 239]
dBm:-50 dBm  Frequency:0.5 GHz Result = 2787-----[10, 227]
dBm:-50 dBm  Frequency:0.5 GHz Result = 2802-----[10, 242]
dBm:-50 dBm  Frequency:0.5 GHz Result = 2803-----[10, 243]
dBm:-50 dBm  Frequency:0.5 GHz Result = 2802-----[10, 242]
dBm:-50 dBm  Frequency:0.5 GHz Result = 2802-----[10, 242]
dBm:-50 dBm  Frequency:0.5 GHz Result = 2802-----[10, 242]
dBm:-50 dBm  Frequency:0.5 GHz Result = 2803-----[10, 243]
dBm:-50 dBm  Frequency:0.5 GHz Result = 2803-----[10, 243]
dBm:-50 dBm  Frequency:0.5 GHz Result = 2803-----[10, 243]
dBm:-50 dBm  Frequency:0.5 GHz Result = 2802-----[10, 242]
dBm:-50 dBm  Frequency:1 GHz Result = 2788-----[10, 228]
dBm:-50 dBm  Frequency:1 GHz Result = 2791-----[10, 231]
dBm:-50 dBm  Frequency:1 GHz Result = 2791-----[10, 231]
dBm:-50 dBm  Frequency:1 GHz Result = 2794-----[10, 234]
dBm:-50 dBm  Frequency:1 GHz Result = 2795-----[10, 235]
dBm:-50 dBm  Frequency:1 GHz Result = 2795-----[10, 235]
dBm:-50 dBm  Frequency:1 GHz Result = 2796-----[10, 236]
dBm:-50 dBm  Frequency:1 GHz Result = 2795-----[10, 235]
dBm:-50 dBm  Frequency:1 GHz Result = 2795-----[10, 235]
dBm:-50 dBm  Frequency:1 GHz Result = 2794-----[10, 234]
dBm:-50 dBm  Frequency:1 GHz Result = 2795-----[10, 235]
dBm:-50 dBm  Frequency:1 GHz Result = 2787-----[10, 227]
dBm:-50 dBm  Frequency:1 GHz Result = 2794-----[10, 234]
dBm:-50 dBm  Frequency:1 GHz Result = 2792-----[10, 232]
dBm:-50 dBm  Frequency:1 GHz Result = 2791-----[10, 231]
dBm:-50 dBm  Frequency:1 GHz Result = 2795-----[10, 235]
dBm:-50 dBm  Frequency:1 GHz Result = 2795-----[10, 235]
dBm:-50 dBm  Frequency:1 GHz Result = 2795-----[10, 235]
dBm:-50 dBm  Frequency:1 GHz Result = 2794-----[10, 234]
dBm:-50 dBm  Frequency:1 GHz Result = 2794-----[10, 234]
dBm:-50 dBm  Frequency:1 GHz Result = 2795-----[10, 235]
dBm:-50 dBm  Frequency:1 GHz Result = 2774-----[10, 214]
dBm:-50 dBm  Frequency:1 GHz Result = 2795-----[10, 235]
dBm:-50 dBm  Frequency:1 GHz Result = 2794-----[10, 234]
dBm:-50 dBm  Frequency:1 GHz Result = 2791-----[10, 231]
dBm:-50 dBm  Frequency:2 GHz Result = 2800-----[10, 240]
dBm:-50 dBm  Frequency:2 GHz Result = 2802-----[10, 242]
dBm:-50 dBm  Frequency:2 GHz Result = 2805-----[10, 245]
dBm:-50 dBm  Frequency:2 GHz Result = 2805-----[10, 245]
dBm:-50 dBm  Frequency:2 GHz Result = 2804-----[10, 244]
dBm:-50 dBm  Frequency:2 GHz Result = 2805-----[10, 245]
dBm:-50 dBm  Frequency:2 GHz Result = 2805-----[10, 245]
dBm:-50 dBm  Frequency:2 GHz Result = 2805-----[10, 245]
dBm:-50 dBm  Frequency:2 GHz Result = 2806-----[10, 246]
dBm:-50 dBm  Frequency:2 GHz Result = 2805-----[10, 245]
dBm:-50 dBm  Frequency:2 GHz Result = 2804-----[10, 244]
dBm:-50 dBm  Frequency:2 GHz Result = 2805-----[10, 245]
dBm:-50 dBm  Frequency:2 GHz Result = 2800-----[10, 240]
dBm:-50 dBm  Frequency:2 GHz Result = 2802-----[10, 242]
dBm:-50 dBm  Frequency:2 GHz Result = 2804-----[10, 244]
dBm:-50 dBm  Frequency:2 GHz Result = 2804-----[10, 244]
dBm:-50 dBm  Frequency:2 GHz Result = 2805-----[10, 245]
dBm:-50 dBm  Frequency:2 GHz Result = 2805-----[10, 245]
dBm:-50 dBm  Frequency:2 GHz Result = 2806-----[10, 246]
dBm:-50 dBm  Frequency:2 GHz Result = 2805-----[10, 245]
dBm:-50 dBm  Frequency:2 GHz Result = 2805-----[10, 245]
dBm:-50 dBm  Frequency:2 GHz Result = 2806-----[10, 246]
dBm:-50 dBm  Frequency:2 GHz Result = 2804-----[10, 244]
dBm:-50 dBm  Frequency:2 GHz Result = 2802-----[10, 242]
dBm:-50 dBm  Frequency:2 GHz Result = 2801-----[10, 241]
dBm:-50 dBm  Frequency:3 GHz Result = 2766-----[10, 206]
dBm:-50 dBm  Frequency:3 GHz Result = 2766-----[10, 206]
dBm:-50 dBm  Frequency:3 GHz Result = 2763-----[10, 203]
dBm:-50 dBm  Frequency:3 GHz Result = 2765-----[10, 205]
dBm:-50 dBm  Frequency:3 GHz Result = 2767-----[10, 207]
dBm:-50 dBm  Frequency:3 GHz Result = 2767-----[10, 207]
dBm:-50 dBm  Frequency:3 GHz Result = 2768-----[10, 208]
dBm:-50 dBm  Frequency:3 GHz Result = 2768-----[10, 208]
dBm:-50 dBm  Frequency:3 GHz Result = 2768-----[10, 208]
dBm:-50 dBm  Frequency:3 GHz Result = 2767-----[10, 207]
dBm:-50 dBm  Frequency:3 GHz Result = 2768-----[10, 208]
dBm:-50 dBm  Frequency:3 GHz Result = 2768-----[10, 208]
dBm:-50 dBm  Frequency:3 GHz Result = 2766-----[10, 206]
dBm:-50 dBm  Frequency:3 GHz Result = 2765-----[10, 205]
dBm:-50 dBm  Frequency:3 GHz Result = 2766-----[10, 206]
